post/keyword,comment/tweet,username,majority_sent,lang_id
Sedihnyaaaa. Kenapa NGO & Orang Awam lagi laju membantu ni? Mana kooridnasi di peringkat nasional? ?? #banjir #banjir2021 #malaysia #daruratbanjir Publish: 20-12-2021,krajaan makan kcg ??,7ecac8e5-153,negative,my
Sedihnyaaaa. Kenapa NGO & Orang Awam lagi laju membantu ni? Mana kooridnasi di peringkat nasional? ?? #banjir #banjir2021 #malaysia #daruratbanjir Publish: 20-12-2021,sbuk dgn pilihan raya,eb4c3a63-e5e,negative,my
Sedihnyaaaa. Kenapa NGO & Orang Awam lagi laju membantu ni? Mana kooridnasi di peringkat nasional? ?? #banjir #banjir2021 #malaysia #daruratbanjir Publish: 20-12-2021,ehh korg tak tgk ke ada askar2 trn pdg mbntu mngsa bnjir???,9e771596-191,positive,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,"pandainya JPS, lepas pam tinggal terus tak tengok, pegawai atasan patut dipecat, buat kerja sambil lewa, sampai mereput la semua rumah² kat tmn ni??",12217575-d9f,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,ni sbb air pasang. normal kunci air akn tutup bila pasang. nnti da surut dia buka balik untuk air tawar kluar. fenomena alam ni. nk tambak benteng pun,e9a5d3a0-903,positive,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,xboleh skarg ni.,e9a5d3a0-903,neutral,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,AIR PASANG LAA OII . ADOIII BLURRR.. CAYA NAUU KEILLING NI CKP????,ef3c7f99-bcf,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,skrg ni air sg dah melimpah masuk ikut tepi pintu ayaq... masuk ke tmn sri muda balik.. bila nak surutnya klu Jps main tinggal cam tu je tak pantau??,12217575-d9f,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,"Dlm keadaan skrg banjir ni JPs kena pantau bila guna pam dgn genset, bila air pasang kena stop dulu pam tu..",12217575-d9f,positive,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,"pintu ayaq ni dah jem tak boleh buka, sebab tak pernah di selengara, bila banjir pintu ayaq tak dapat buka, maka tenggelam la tmn ni bila banjir??",12217575-d9f,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,air pasg bang,a8b79400-ed1,neutral,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,haa betul tu air pasang baru perasan air sg naik masuk kedalam??,12217575-d9f,neutral,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,kalau letak org pun tetap salah jugak...tak buka pam salah bila buka salah...ada sebab dia buka...,a287bde9-c78,positive,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,patut bila dah jadi mcm tu pum kena tutup,cf999395-513,neutral,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,takut kena smack down??,7a511755-c9d,negative,cm
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,kerajaan tido....tggu pru.,72e22ed7-503,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,kalau duk Selangor dah tukar kerajaan ... Selangor je BYK bising,c89fbfe9-09e,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,"ko tgu krajaan DAJJAL kan ? nnti dia boleh tlg semua org... bg mkn minum, nk emas leh buat semua rakyat kaya raya... dia akan keringkan air semua.",536da019-a72,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,pegawai perancangan yang pandai di dunia ... bagi gaji dan bonus lebih utk dia org????????????,95d33d01-30e,negative,my
22 Dec 2021 10:50am #banjirsrimuda #daruratbanjir #banjir2021 #shahalam #srimuda Publish: 22-12-2021,duk hentam je... air pasang mmg xsurut la... 21/12/2021 air xmelimpah dah... 22/12/2021 hujan lebat dia melimpah semulanla,7fb2a412-68d,neutral,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,kenapa saya nangis ???? hebat rakyat malaysia ??,4f29f6dc-a90,positive,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,Rakyat bantu rakyat???? ahli politik tetap tidur,4f1efbc3-5fc,negative,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,tq lotus malaysia. anda perihatin. ????,37955cd0-5ce,positive,cm
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,lepas ni jom ramai2 kita shopping kat lotus! kita support diorg balikkk. tq lotuss ??,dd642ba6-120,positive,cm
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,xdk duit [cry],69bb29f4-854,neutral,cm
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,Kat rumah saya ttdi jaya kedai2 mamak tak terjejas sangat pun bagi makan free. Aeon bagi penempatan mangsa. Lotus pun bantu. Kerajaan? Hauk,06c0ad73-114,positive,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,Diorg pun tolong jugak.. Tak tgk fb diorg ke? Semua ada buat keje... Ceritanya bukan satu kg kena.. Hampir semua..yg dekat bantu membantu dulu,a42296b7-ae9,positive,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,x kn semw nk harap kerajaan kan ..1 malaysia,4a0dc284-f22,positive,my
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,Terima Kasih pada anda semua.God Bless.,80078775-a26,positive,cm
Sape2 sangkut area shah alam tu boleh rehat area parking lotus #daruratbanjir #shahalam Publish: 19-12-2021,"Kan, masih busy dgn undi disrwk, semua utk poket sndiri, kt tkperlu pemimpin mcm ni..semoga dpt balasan",e811d3ee-dba,negative,my
Kesan gempa bumi terasa sampai Selangor #gempabumijakarta Publish: 25-2-2022,yg di ofis kami semua kena evac building kak,1dd9357d-cd1,negative,cm
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",Gempa bumi lemah pun merisaukn juga sbb skrg ni pun ujan sj,291a4b71-2b7,neutral,my
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",Sy lama x pigi kundasang. Ini la yg sy takut,45f53f3d-40d,neutral,my
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",kami tiada rsa tu gempa bumi. tidur lagi masa tu . kogutan beii,b6db9427-ea2,neutral,my
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",kundasang tempat cantik sejuk I like,6ca9dc98-4de,neutral,cm
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",Belum lagi tungu bulan 5,b101b64c-e7c,neutral,my
"Gegaran dirasai di Ranau, gempa bumi lemah berlaku di Kundasang #TrendingNewsMalaysia #BeritaDiTikTok Publish: 26-4-2022",halau geng geng maksiat tu,eaebfb46-7e1,negative,my
gempa bumi !! Publish: 25-2-2022,Sama la sini gak kt Shah Alam rasa gegaran,44bb707b-48e,neutral,my
gempa bumi !! Publish: 25-2-2022,serius lah smpi ke SA ? hrp² semuanya baik²,3941e804-b02,positive,my
gempa bumi !! Publish: 25-2-2022,gegaran tu kt sumatera,29a68b43-e7c,neutral,my
gempa bumi !! Publish: 25-2-2022,Harap2 semua dlm keadaan baik2 kat sna..,658326d0-c36,positive,my
gempa bumi !! Publish: 25-2-2022,mmg ade gegaran pagi tadi.. smoga kita semua dlindungi olehNYA ??,8656fd67-6bd,positive,my
gempa bumi !! Publish: 25-2-2022,maklumat diterima dino ??,9c3ce69f-7a3,neutral,my
gempa bumi !! Publish: 25-2-2022,Area klang pon rase gegaran.. Mintak dijauhkn perkara2 yg x diingini..Allahuakbar!,510410ef-11c,positive,my
gempa bumi !! Publish: 25-2-2022,Putrajaya pun rasai gegaran...Allahuakbar..moga dlm lindungan Allah..,7b8e565b-d31,positive,my
gempa bumi !! Publish: 25-2-2022,Hati2 boss,f881e967-35c,positive,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,kami sini darah kota Belud ada terasa gempa bumi tu... ??,319270ed-dfe,negative,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,patut la kwn aku yg puasa trteln syp aym.,102b98b6-596,neutral,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,"??????,, teringat pla kejadian sblm neee,,rmh mcm maw jatuh d arung,sebap gegaran kuat,,kg Bundu Tuhan Ranau,, hati2 shja laaa kta semua",5daa0551-cd6,positive,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,semoga semua baik2 semuanya,a05df969-ac7,positive,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,gempa lagi,0900a031-d8b,negative,my
info gempa bumi ..sumber buletinTV3 #gempa #gempabumi #ranau #sabah #kundasang Publish: 26-4-2022,"Mengingatkan kepada kita hati-hati dijalan raya banyak lubang sana,sini kena gempa. bumi.",7a9c02db-2e9,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,tu AMARAN dari TUHAN so STOP war ?? maka petaka setelah WABAK masih tk insaf ZALIM gnr,ae244ba7-f86,negative,cm
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,mcm mana tahu ada gegaran. Bln Mac pun blm lagi sampai.????????????,c36bea20-648,negative,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,Allah bg peringatan jgn duk asyik ligan harta dunia saja amal ibadat tak ambil kisah,b35d5c41-8bd,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,25 march 2022??????,0b7e5b85-37a,neutral,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,silap date pula,540bfc94-97e,neutral,cm
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,Mac lom spai lgi da??,4b0ed754-4fb,neutral,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,insah Allah tuan kami tetap berdowa kepada Allah Subahan hitam Allah aamiin terimakasih,4bfa06de-372,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,Ya Allah lindungi nagara kami drpd musibah Amin3x,415ff98c-c79,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,25.march????skg baru february làa,baa48fdc-458,neutral,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,blh tak nak tgk tt sahabat kt di Indonisia moga di lindungi allah,f66684b8-f72,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,Salam jumaat,b516971d-896,neutral,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,saya doa x kan jadi apa apa lah,5d390f62-ec8,positive,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,katil rumah aku bergegar juga bos mlm td....tak lah kecoh mcm ni,296697f2-ca5,neutral,my
GEGARAN DI BANGUNAN PERKIM 25 MAC 2022 gempa bumi di rasai Publish: 25-2-2022,insyaallah kita doa kn x akan berlaku....,a3396f43-0ab,positive,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Betul ka Indonesia mna ade gempa,3863a8f9-aa9,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",aduh x tgk berita ka..pagi tadi dlm jam 9.40pg..,9289de42-88c,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",nampak tangan goncang cawan ????????.,b9252cfb-dc6,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",tapi betul la gempa bumi,cfa68c15-d36,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Lori berat jalan pun boleh rasa lah.. ??,1103c759-0fc,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",saya di keramat kl pun ada merasa goyang,0a644915-1c3,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Sampai dekat rumah saye,f086a798-a12,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",srs aku kt jepun pn gempa gak ??,d499ef7b-b75,negative,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",port dickson pon rase mat,b2923b3c-7b5,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",kn 5atau4 saat,74cd6843-56d,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",ade ape ii ke tadi? aku baru bangun tido ni,c6390bae-99d,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Hahahahaha tertinggal bas ke tu ni aku ada tiket dua,c3a96564-149,positive,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",jam berapa gempa tu jadi,32f17a9c-319,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",sampai Selangor goyang,9ea34f02-325,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Kucing saya tgh jilat jilat badan tiba tiba tepat 9:39:29 (waktu gempa berlaku) kucing aku bangun secara mengejut lpstu mengiau ngiau aku ada vid cctv,d1d4d3ed-fad,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",Bukit tinggi pun sama la rumah saye cawan semua tetibe bergerak.... YA ALLAH dah akhir zaman????,cfa68c15-d36,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",yg tido wktu gempa:??,37c14856-618,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",kerusi yg adik saya ddk smsa bw abah kami dlm bgunan IJN pun rs sdmikian,02528379-92f,neutral,my
"Gempa bumi di Bukit Tinggi, Indonesia dirasai di beberapa tempat di Malaysia seperti Bangi dan Putrajaya. #gempabumi #bukittinggi Publish: 25-2-2022",merlimau pun rasa dol,2317736a-142,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,bila weii.. take care,b1abeb1e-0dc,positive,cm
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,ok aku dpt jwpn dh...,b1abeb1e-0dc,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,haha.. kan.. laju dh dpt info huhu ampa xrasa ka sana,230ecc04-0f1,positive,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,dpt Ase jgk.. pekan Baru Indonesia.. 25feb22..,ab7b0bfd-37b,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,rasa gak ye,230ecc04-0f1,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,ye wak.terase sampai uma.kite.ingatkan apw????,ae45d0a9-36f,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,kan.. ingtkan pening.. skli kawan kata eh apsal dia pening ni... huhu,230ecc04-0f1,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,semoge semua selamat..dan dipermudahkan..????????,ae45d0a9-36f,positive,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,ade dalam kul 10 pg td....,d620f1e1-e34,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,kat indonesia katanya..rasa smpai m'sia,6416effd-c42,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,moga kita semua selamat dara Bala Allah atas kesilapan hambaNya yg leka,52e14b9f-e6c,positive,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,semoga semua sentiasa di lindungi allah,1881ece4-65f,positive,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,sama laa kami pon .. gegaqqqq .. putrajaya kan,a185ea1e-08e,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,kami kat penang pon rasa,230ecc04-0f1,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,Allahhh penang lg dekat kan??????,a185ea1e-08e,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,ha.ah ada gempa bumi,554782ee-9b0,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,itula sis...lepas 10 min rasa gegaran tu dpt info dh kata gempa bumi,230ecc04-0f1,neutral,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,sis rasa juga ye td,230ecc04-0f1,neutral,cm
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,Ya ada gempa.. Semoga semua baik² je,01fed161-0c3,positive,my
#ad gempa bumi ka wei.. kami dok bergoyang ni ?? #viral #ad #fyp #foryou #gempabumi Publish: 25-2-2022,Berasa jgk ka..kuat la kan... Jaga diri????,58e69d39-55b,positive,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,lekss gaiss . ktorg kat kndsg ni x rasa pun..,891aa232-1f2,positive,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,baru plan nk pegi??,9cf58815-b96,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,kitaorg yg stay kat kundasang ok je .. santaiii,90d0cad8-dfc,neutral,cm
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,Siapalah kentut tu ??????,f2fb48e9-3fb,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,TENANG MAT AKU KAT JOHOR NIH TAK RASA APA PUN ??????????,f847bf4e-098,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,?? ???? Blessed,47aa38a6-d95,positive,en
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,di sabah mana ada daerah Kundasang yang betul pekan Kundasang Ranau Sabah Kundasang adalah Ranau,3efb08c0-b7d,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,Td kami spai xda juga yg bagitau ada gegaran.Kami spai dlm 9 pg mcm tu,e6807fcf-fc3,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,Harap la tak jadi pape,23b65d9d-8cd,positive,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,kes banjir pun tak boleh nak handel..??????????,5c4d7767-8cd,negative,cm
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,Kepada penduduk kawasan berkenaan harap sentiasa berwaspada..,7b19581b-04f,positive,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,itu pun mau masuk berita??,b3cd42e3-695,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,mesti ada yg buat bukan2 lagi di atas tu...siapa lagi la buat hal tu..,a8db868b-766,negative,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,Teruskan melapor..,3e43732a-973,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,ni tanda tanda awal pilihanraya sudah mau dekat...??????,e4c2fe50-1da,negative,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,???????? Betul la... ada gegaran di port dickson... oh my god,835cc9d0-b41,neutral,cm
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,"kalau 3.1 rilek saja, nda juga rasa",49f20990-cf6,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,"Bukan Daerah Kundasang . Kundasang adalah sebuah pekan yang terletak di Daerah Ranau . Just cakap di “ Kundasang, Ranau” . Kundasang bukan Daerah",efe1fc15-a41,neutral,my
Gempa bumi lemah dilaporkan berlaku di daerah Kundasang pada jam 7.27 pagi tadi. #TrendingNewsMalaysia #News #AWANInews Publish: 14-8-2022,LEBIH BAIK LAPOR AIR PASANG SURUT...??????,19ce76bd-9aa,negative,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,Super nice,b1a5c8d0-9ca,positive,en
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,hader met mlm bos????????,5f2340fe-7f3,neutral,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,Jaga kesehatan BG dilan and kwn2 smua????,7dfc4ed1-5de,positive,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,ye lari semua,e9652085-858,neutral,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,ya Alloh semoga suami aku baik di Malaysia,faa55da6-23b,positive,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,moga kita semai dlindungi allah SWT ??,284d610d-654,positive,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,masha allah ....musibah apakah ini?? lindungi lah kami semua ya allah ya tuhanku??????????dclx3 ??,7a7321c0-cac,positive,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,"jangan Di Buat"" Saya sdh KL pun Tak Tau ada gempa",7f7e4525-f02,neutral,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,"Bile ni, bukan yng itu hari kah ????",3863a8f9-aa9,neutral,my
Gempa bumi di Kuala Lumpur #bfoncrew Publish: 25-2-2022,hdr mt sore ??????????,2baa9508-563,neutral,my
